,CROPS,TYPE_OF_CROP,SOIL,SOIL_PH_LOW,SOIL_PH_HIGH,CROPDURATION_MIN,CROPDURATION_MAX,MIN_TEMP,MAX_TEMP,WATER_REQUIRED_MIN,WATER_REQUIRED_MAX,RELATIVE_HUMIDITY_MIN,RELATIVE_HUMIDITY_MAX
22,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",4,5,555.9211758,336.2583995,5,16,847.867289,1613.967534,16,18
23,gingely,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",4,5,61.92234676,239.7439518,5,16,1092.296316,1154.459843,16,18
24,niger,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",4,5,660.7629062,750.6427123,5,16,375.2482993,401.4546637,16,18
25,safflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",4,5,336.3300624,302.2451881,5,16,1272.473659,2058.180273,16,18
26,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",4,5,205.6297202,339.318004,5,16,1240.508807,1499.185206,16,18
27,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",4,5,229.9660782,804.2228836,5,16,485.6107163,2052.811832,16,18
28,jute,fibre crop,Sandy and Clay Loam,4,5,536.2212446,272.7896777,5,16,1751.500588,438.6985688,16,18
29,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,4,5,68.89422311,702.7209719,5,16,1434.340223,1048.881349,16,18
30,sweet sorghum,sugar crops,Well drained sandy loam and clayey loam soils ,4,5,943.1312402,778.6527928,5,16,860.6836656,1150.60724,16,18
31,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,4,5,584.4965908,410.9665036,5,16,1302.522039,1774.514551,16,18
32,fodder cholam,forage crops,Well drained sandy loam and clayey loam soils ,4,5,122.2326799,700.9601279,5,16,1237.276556,727.0416172,16,18
33,fodder cumbu,forage crops,Well drained sandy loam and clayey loam soils ,4,5,927.1939853,209.3627146,5,16,1763.491613,2126.303583,16,18
34,fodder maize,forage crops,Well drained sandy loam and clayey loam soils ,4,5,270.4955459,78.38206913,5,16,1469.507115,2038.1244,16,18
35,cumbu napier hybrid,forage crops,Well drained sandy loam and clayey loam soils ,4,5,430.7218873,585.2344316,5,16,1612.018861,1922.945643,16,18
36,guinea grass,forage crops,Well drained sandy loam and clayey loam soils ,4,5,109.7911078,380.4875255,5,16,1736.474174,1556.835004,16,18
37,kollukattai pullu,forage crops,Well drained sandy loam and clayey loam soils ,4,5,202.6577504,109.0017656,5,16,496.3506898,2372.939973,16,18
38,kudirai masi,forage crops,Well drained sandy loam and clayey loam soils ,4,5,94.84971599,868.4688459,5,16,1355.783453,1779.492949,16,18
39,velimasal,forage crops,Well drained sandy loam and clayey loam soils ,4,5,424.5644127,420.1013171,5,16,803.1963717,1727.621794,16,18
40,fodder cowpea,forage crops,Well drained sandy loam and clayey loam soils ,4,5,180.0982046,757.2457848,5,16,1759.544024,1011.227455,16,18
41,muyal masal,forage crops,Well drained sandy loam and clayey loam soils ,4,5,545.0506762,244.6084102,5,16,777.295432,1144.130756,16,18
42,soundal,forage crops,Well drained sandy loam and clayey loam soils ,4,5,858.29346,254.6505848,5,16,762.3317505,2326.413324,16,18
43,tobacco,other crops,Well drained sandy loam and clayey loam soils ,4,5,777.7185572,769.8304914,5,16,1025.026047,1172.326953,16,18
44,tomato,vegetables,Sandy loam,4,5,306.0730011,135.9253982,5,16,1722.663424,1806.460136,16,18
45,onion,vegetables, Any Loamy,4,5,850.1333451,319.7094422,5,16,1765.298365,668.0690384,16,18
46,chillies,vegetables,Loamy soil/ Lateritic soil,4,5,746.3984802,155.0290136,5,16,1867.704175,1285.406379,16,18
47,Cabbage,colecrops,LoamySandy,4,5,130.9114257,233.9339307,5,16,1454.04297,2373.583931,16,18
48,bhendi,vegetables,Loamy soil/ Lateritic soil,4,5,746.8025012,910.1362968,5,16,1830.991657,1920.56968,16,18
49,brinjal,vegetables,Loamy soil/ Lateritic soil,4,5,680.1186205,785.5729465,5,16,1327.912643,2229.379619,16,18
50,capsicum,vegetables,Loamy soil/ Lateritic soil,4,5,608.4055769,424.3629448,5,16,1735.418314,1933.965223,16,18
51,paprika,vegetables,Sandy loam,4,5,147.5409063,722.0991892,5,16,1213.62236,2355.063142,16,18
52,pumpkin,vegetables,Loamy soil/ Lateritic soil,4,5,372.9941568,519.723877,5,16,1239.266053,1328.618493,16,18
53,snake gourd,vegetables,Loamy soil/ Lateritic soil,4,5,919.0106272,515.2426361,5,16,344.9392815,757.1828786,16,18
54,ribbed gourd,vegetables,Sandy Loam,4,5,704.1283486,853.5137561,5,16,1636.97322,507.6482001,16,18
55,bottle gourd,vegetables,Sandy loam,4,5,782.7156448,218.9143597,5,16,643.0707109,741.3471032,16,18
56,bitter gourd,vegetables,Well drained loamy soil,4,5,638.1646828,765.5602447,5,16,967.1727523,1943.735656,16,18
57,ash gourd,vegetables,Sandy loam,4,5,407.788378,794.2370665,5,16,1129.775069,1059.3817,16,18
58,cucumber,vegetables,Loamy,4,5,268.0850119,651.122446,5,16,852.1100022,1548.354391,16,18
59,gherkins,vegetables,Sandy loam,4,5,510.333685,902.0051111,5,16,1107.025895,1673.57898,16,18
60,watermelon,vegetables,Sandy,4,5,878.1559606,628.4051214,5,16,1084.71987,956.1740522,16,18
61,muskmelon,vegetables,Sandy Loam,4,5,879.2315566,132.706499,5,16,431.1883633,948.8864328,16,18
62,tinda,vegetables,Sandy loam,4,5,790.2597407,840.9148309,5,16,1321.67104,2033.439507,16,18
63,chowchow,vegetables,Loamy soil/ Lateritic soil,4,5,474.8639877,179.635053,5,16,1136.37307,1323.275935,16,18
64,cluster bean,vegetables,Sandy Loam,4,5,389.5156227,766.1220384,5,16,1255.389625,1538.801318,16,18
65,vegetable cowpea,vegetables,Sandy loam,4,5,375.1850465,802.5345096,5,16,771.6438933,1738.673103,16,18
66,lablab,vegetables,Well drained loamy soil,4,5,278.5270351,515.8761354,5,16,811.1057974,1460.34612,16,18
67,french bean,vegetables,Well drained loamy soil,4,5,334.5296056,811.6500119,5,16,617.7647535,1518.853963,16,18
68,broadbean,vegetables,Well drained loamy soil,4,5,498.6097401,686.0756211,5,16,1459.101861,655.6524666,16,18
69,peas,vegetables,Sandy loam,4,5,119.5271977,205.7354541,5,16,553.9434321,563.3430355,16,18
70,annual moringa,vegetables,Sandy loam,4,5,789.2338696,321.8472432,5,16,1336.33652,1805.032293,16,18
71,carrot,Root&tuber,light or sandy loam soil,4,5,637.003694,774.8033255,5,16,652.2640519,773.6359707,16,18
72,beetroot,Root&tuber,all types of friable soil,4,5,528.3687328,157.150314,5,16,1459.308826,518.4440786,16,18
73,radish,Root&tuber,Well grained deep loamy moist and alluviual soil,4,5,843.7963999,520.8208012,5,16,1163.69614,629.8010655,16,18
74,colocasia,Root&tuber,Well grained deep loamy moist and alluviual soil,4,5,670.8450331,653.7049022,5,16,1438.758317,957.385215,16,18
75,dioscorea,Root&tuber,well-drained soil,4,5,75.55890067,151.8430505,5,16,1057.05903,1828.925469,16,18
76,sweet potato,Root&tuber,well-drained soil,4,5,94.3977489,530.0032499,5,16,1768.579864,1484.599196,16,18
77,chinese potato,Root&tuber,well-drained soil,4,5,650.611028,254.9457534,5,16,1287.725154,508.5385552,16,18
78,tapoica,Root&tuber,Red lateritic loam,4,5,224.7611707,43.01171355,5,16,1677.693934,1898.539185,16,18
79,elephant foot yam,Root&tuber,Rich red loamy soil,4,5,397.2562964,699.043729,5,16,841.7755391,1607.586068,16,18
80,amaranthus,greenleafy,Silt Loam to loamy,4,5,404.6907015,331.4603687,5,16,1833.814431,2167.044696,16,18
81,curry leaf,greenleafy,Red sandy loam,4,5,911.0748591,369.4550797,5,16,1749.7838,914.2117701,16,18
82,celery,greenleafy,Silt Loam to loamy,4,5,280.2021147,849.8317107,5,16,1863.976348,1833.635813,16,18
83,cauliflower,colecrops,LoamySandy,4,5,173.4497546,96.99653065,5,16,647.6135747,1241.099605,16,18
84,small onion,bulbvegetables,Sandy loam,4,5,551.8804438,232.0299688,5,16,1733.295689,535.0457956,16,18
85,bellary onion,minor vegetables,Sandy loam,4,5,748.9689682,222.2761636,5,16,1565.510781,473.3674054,16,18
86,Asparagus,minor vegetables,Sandy loam,4,5,818.3036594,160.5892745,5,16,1860.83537,2072.22239,16,18
87,Basella,minor vegetables,Sandy loam,4,5,300.501023,403.1893269,5,16,705.5615778,2353.091267,16,18
88,Bread fruit,minor vegetables,Sandy loam,4,5,538.6166797,52.7437784,5,16,782.5036103,933.9721367,16,18
89,Brussels sprout,minor vegetables,Sandy loam,4,5,733.3512066,647.5355915,5,16,824.435584,910.2028266,16,18
90,Butter bean,minor vegetables,Sandy loam,4,5,534.5881778,351.1444047,5,16,517.4264446,1411.705624,16,18
91,Phaseolus lunatus,minor vegetables,Sandy loam,4,5,420.4771915,606.9065397,5,16,708.5987415,1153.008358,16,18
92,Celery,minor vegetables,Sandy loam,4,5,48.19845622,328.9696726,5,16,671.4950898,2175.71648,16,18
93,Ceylon spinach,minor vegetables,Sandy loam,4,5,34.8961909,832.5639409,5,16,434.0744863,709.0025001,16,18
94,Chakravathi keerai,minor vegetables,Sandy loam,4,5,825.499738,921.1882549,5,16,983.4019952,1469.53006,16,18
95,Chekurmanis,minor vegetables,Sandy loam,4,5,279.0334579,520.4750643,5,16,1146.667835,1360.136563,16,18
96,Chinese cabbage,minor vegetables,Sandy loam,4,5,49.75962185,596.8035956,5,16,935.3955339,764.9714102,16,18
97,Coccinia,minor vegetables,Sandy loam,4,5,399.599355,182.9882906,5,16,910.4645637,1210.941011,16,18
98,Knol-khol,minor vegetables,Sandy loam,4,5,792.424693,46.44844475,5,16,897.4448937,1543.594192,16,18
99,Lettuce,minor vegetables,Sandy loam,4,5,227.5635586,936.1136318,5,16,750.3663315,874.8322597,16,18
100,Mint,minor vegetables,Loamy soil,4,5,472.8847657,828.859269,5,16,1580.34566,1591.362912,16,18
101,Palak,minor vegetables,Sandy loam,4,5,570.1222286,867.3104424,5,16,972.5431746,1684.671035,16,18
102,Rhubarb,minor vegetables,Sandy loam,4,5,691.2922096,293.2540427,5,16,1471.653863,486.8109602,16,18
103,Turnip,minor vegetables,Loamy soil,4,5,382.1947914,522.6819676,5,16,1255.321556,661.8449491,16,18
104,Winged Bean,minor vegetables,Sandy loam,4,5,152.0796425,242.7855254,5,16,1356.05263,2316.552519,16,18
105,rice,cereals,light or sandy loam soil,4,5,249.0915615,129.5762227,5,16,1570.660812,1176.499386,16,18
106,rice,cereals,clay-based soil,4,5,591.3225612,808.0729041,5,16,1209.451763,594.7851111,16,18
107,rice,cereals,"red, black, sandy, loamy and shallow black soils.",4,5,78.01925043,934.6337817,5,16,1340.861197,2040.458987,16,18
108,rice,cereals, Any Loamy,4,5,513.1630712,381.3341602,5,16,435.2370416,1399.138302,16,18
109,rice,cereals, Any Loamy,4,5,176.2326375,407.9657781,5,16,1308.370551,1952.339167,16,18
110,rice,cereals,all types of friable soil,4,5,699.4404213,93.35720876,5,16,1731.591765,2205.526606,16,18
111,rice,cereals,wide range of soils,4,5,767.9694851,562.0897984,5,16,1471.058831,671.5051423,16,18
112,rice,cereals,Well drained loamy soil,4,5,806.7307669,890.5362849,5,16,1863.714067,397.5886522,16,18
113,rice,cereals,Red lateritic loam,4,5,762.0685887,179.0919783,5,16,1643.280174,1748.494706,16,18
114,rice,cereals, well-drained sandy loams or sandy soils ,4,5,872.9422069,780.7147585,5,16,834.5847972,2364.836325,16,18
115,rice,cereals,"red, black, sandy, loamy and shallow black soils.",4,5,442.2067104,479.2767627,5,16,756.8052284,1307.272176,16,18
116,rice,cereals,Sandy and Clay Loam,4,5,169.4056759,33.48158918,5,16,1752.334679,647.8238279,16,18
117,rice,cereals,temperate podzols to the leached red soils of the tropics. ,4,5,306.8685841,429.1149277,5,16,1228.209244,1877.458716,16,18
118,rice,cereals,deep loam soils,4,5,140.895887,524.1584268,5,16,1148.302302,1310.571788,16,18
119,rice,cereals,Sandy,4,5,857.3873998,944.8565625,5,16,1051.847667,2286.370525,16,18
120,rice,cereals,Red sandy loam,4,5,623.1597204,233.4494886,5,16,403.6734497,934.5791159,16,18
121,rice,cereals,wide range of soils,4,5,60.65479685,83.66632922,5,16,1151.410282,2244.252144,16,18
122,rice,cereals,medium to heavy black soil,4,5,133.8590367,825.0862871,5,16,1491.062933,1329.037749,16,18
123,rice,cereals,Loamy soil,4,5,459.0017444,242.8600804,5,16,363.7424934,1652.737229,16,18
124,rice,cereals,Silt Loam to loamy,4,5,176.6690106,756.283935,5,16,400.6944795,1814.606104,16,18
125,rice,cereals,well-drained sandy loams or sandy soils ,4,5,28.3452093,224.8542425,5,16,767.7615359,2122.344755,16,18
126,rice,cereals,deep loam soils,4,5,111.884048,128.9288538,5,16,577.1349833,2240.584958,16,18
127,rice,cereals,well-drained loamy soils,4,5,596.3013172,392.0664695,5,16,1284.223497,1699.516716,16,18
128,rice,cereals,"alluvial,loamy ",4,5,160.3151074,317.3912158,5,16,933.5930046,1286.251555,16,18
129,rice,cereals,Red sandy loam,4,5,320.4807179,111.5665374,5,16,565.2627643,1577.175603,16,18
130,rice,cereals,well-drained loamy soils,4,5,44.91968859,406.5247501,5,16,1759.982991,1038.099304,16,18
131,rice,cereals,well-drained loamy soils,4,5,440.6238768,225.2488223,5,16,1679.471462,1214.910732,16,18
132,rice,cereals,Well Drained,4,5,469.6977719,907.0364599,5,16,1208.706023,1879.979554,16,18
133,rice,cereals,"Well-drained, Loamy Soil",4,5,791.3218589,922.8002349,5,16,1066.193899,1993.436539,16,18
134,rice,cereals,well-drained loamy soils,4,5,780.7306499,873.5357294,5,16,693.9479614,2351.933482,16,18
135,rice,cereals,Rich red loamy soil,4,5,244.8094756,834.7056394,5,16,939.9088136,1031.591396,16,18
136,rice,cereals,Loamy,4,5,389.3729663,737.0506097,5,16,826.5607492,1347.974174,16,18
137,rice,cereals,Rich red loamy soil,4,5,244.5835642,873.8102552,5,16,1480.033994,1073.846995,16,18
138,rice,cereals,Well drained loamy soil,4,5,30.45543135,211.1618575,5,16,1612.052136,834.5591694,16,18
139,rice,cereals,Red lateritic loam,4,5,119.1159138,926.8422547,5,16,577.2249356,2318.083841,16,18
140,rice,cereals,Sandy and Clay Loam,4,5,100.6155561,952.3806684,5,16,1374.924892,2088.679211,16,18
141,rice,cereals,Sandy and Clay Loam,4,5,515.1451035,663.2334161,5,16,778.2723483,1413.164321,16,18
142,rice,cereals,light or sandy loam soil,4,5,928.3144744,324.2983507,5,16,1547.360152,1142.405552,16,18
143,rice,cereals,Sandy and Clay Loam,4,5,606.8092491,295.3901514,5,16,1222.249344,1012.702991,16,18
144,rice,cereals, well-drained sandy loams or sandy soils ,4,5,581.3267604,363.1415506,5,16,1484.388594,1337.846152,16,18
145,rice,cereals,Sandy and Clay Loam,4,5,922.4893336,854.2106055,5,16,1850.179086,1767.603686,16,18
146,rice,cereals,LoamySandy,4,5,127.8104057,32.29180086,5,16,908.254382,1443.62014,16,18
147,rice,cereals, Any Loamy,4,5,942.7658326,352.0841487,5,16,443.1616992,1888.082986,16,18
148,rice,cereals,light or sandy loam soil,4,5,275.4123707,400.086093,5,16,749.2139207,1951.59578,16,18
149,rice,cereals,"Loams, silt loams, clay loams, or silty clay loams",4,5,244.7139004,83.70145236,5,16,437.1466427,789.5957079,16,18
150,rice,cereals,Sandy Loam,4,5,205.6239497,329.203156,5,16,572.6152908,1987.10481,16,18
151,rice,cereals,"alluvial,loamy ",4,5,194.9312734,95.3881839,5,16,1462.457701,1159.340951,16,18
152,rice,cereals,"Well-drained, Loamy Soil",4,5,502.2734124,169.0319395,5,16,413.5362963,2292.334351,16,18
153,rice,cereals,Sandy Loam,4,5,722.8031965,744.4057887,5,16,947.3616692,1650.717707,16,18
154,rice,cereals,Well drained loamy soil,4,5,318.6042075,332.9008971,5,16,1352.200141,2166.708834,16,18
155,rice,cereals,Well drained sandy loam and clayey loam soils ,4,5,937.6651932,322.2670066,5,16,1015.858063,1704.430238,16,18
156,rice,cereals,Red sandy loam,4,5,395.2261799,287.3321551,5,16,1043.778993,602.4467786,16,18
157,rice,cereals,deep loam soils,4,5,861.2787079,655.7575352,5,16,453.1425043,1202.283466,16,18
158,rice,cereals,well-drained loamy soils,4,5,166.5998604,162.1960017,5,16,1385.841129,1230.892935,16,18
159,rice,cereals," black soils, (ii) red soils and (iii) alluvial soils.",4,5,854.7931884,507.9825797,5,16,1549.941011,1327.951249,16,18
160,rice,cereals,"Loams, silt loams, clay loams, or silty clay loams",4,5,839.5922319,587.4205175,5,16,1621.779492,1436.972322,16,18
161,rice,cereals,"Loams, silt loams, clay loams, or silty clay loams",4,5,603.3126549,531.8781393,5,16,1509.153055,662.9003415,16,18
162,rice,cereals,Well drained loamy soil,4,5,693.127477,366.0162414,5,16,1674.559567,2219.372497,16,18
163,rice,cereals,Red lateritic loam,4,5,397.6431191,480.9884405,5,16,1487.115749,1434.95505,16,18
164,rice,cereals,Loamy soil/ Lateritic soil,4,5,48.39474849,339.1863673,5,16,1211.817133,2126.445597,16,18
165,rice,cereals,Loamy soil,4,5,849.9985072,605.502002,5,16,1569.446408,1738.073488,16,18
166,rice,cereals,Well drained sandy loam and clayey loam soils ,4,5,220.7795086,675.0645516,5,16,976.4237169,966.4470155,16,18
167,rice,cereals,wide range of soils,4,5,752.5325501,72.12337165,5,16,1230.441896,980.3130513,16,18
168,rice,cereals,well-drained sandy loams or sandy soils ,4,5,865.1227144,774.4471317,5,16,1781.898498,1744.885796,16,18
169,rice,cereals,well-drained sandy loams or sandy soils ,4,5,96.25365524,429.9779066,5,16,1129.75935,1677.632527,16,18
170,rice,cereals,Red lateritic loam,4,5,562.7457594,766.5751903,5,16,1244.701794,422.3928645,16,18
171,rice,cereals,well-drained soil,4,5,40.55076447,87.27871254,5,16,504.0056814,1363.185308,16,18
172,rice,cereals,"red, black, sandy, loamy and shallow black soils.",4,5,67.84255588,24.69895306,5,16,631.6408821,1718.736622,16,18
173,rice,cereals,"red, black, sandy, loamy and shallow black soils.",4,5,453.8033107,184.7253951,5,16,574.9923746,1548.485114,16,18
174,rice,cereals,"Loams, silt loams, clay loams, or silty clay loams",4,5,860.9727939,162.403343,5,16,364.3663479,2014.37637,16,18
175,rice,cereals,Well drained loamy soil,4,5,147.6780997,876.1611645,5,16,718.0705139,903.2003364,16,18
176,rice,cereals,"Well-drained, Loamy Soil",4,5,693.3752999,49.99026411,5,16,381.500843,1228.416721,16,18
177,rice,cereals,light or sandy loam soil,4,5,886.4929225,211.9181599,5,16,1283.350275,1088.735148,16,18
178,rice,cereals," black soils, (ii) red soils and (iii) alluvial soils.",4,5,849.1058063,710.6865801,5,16,473.2355607,501.0852196,16,18
179,rice,cereals,Well Drained,4,5,598.7816143,173.3585508,5,16,627.419043,2263.005004,16,18
180,rice,cereals,deep loam soils,4,5,427.5850375,962.2505092,5,16,662.1309327,2127.380432,16,18
181,rice,cereals,Silt Loam to loamy,4,5,576.1569084,398.0435031,5,16,874.8552849,1604.302983,16,18
182,rice,cereals,Loamy soil/ Lateritic soil,4,5,367.0543668,367.0094116,5,16,1417.884514,1111.19073,16,18
183,rice,cereals,Well Drained,4,5,658.239773,42.27916439,5,16,692.1413922,1145.016526,16,18
184,rice,cereals,Well-drained sandy loam or sandy clay loam soil ,4,5,43.73102729,543.5959522,5,16,1148.652874,863.2943245,16,18
185,rice,cereals,well-drained soil,4,5,156.0297229,332.1258861,5,16,1064.957733,1763.90752,16,18
186,rice,cereals,deep loam soils,4,5,444.5604436,914.9404805,5,16,1590.161258,1032.337061,16,18
187,rice,cereals,temperate podzols to the leached red soils of the tropics. ,4,5,604.5307621,82.45166909,5,16,1534.76276,1179.039117,16,18
188,rice,cereals,"clay, clay loam, or sandy loam soils",4,5,691.782131,940.8267114,5,16,461.2711914,2078.094493,16,18
189,rice,cereals,Well drained loamy soil,4,5,104.9762045,479.9311327,5,16,1723.262524,521.6439401,16,18
190,rice,cereals,well-drained soil,4,5,258.8583093,178.130289,5,16,1139.621506,1608.685264,16,18
191,rice,cereals,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,4,5,566.2872729,53.92669522,5,16,1335.710928,2374.353498,16,18
192,rice,cereals,Sandy Loam,4,5,788.8790598,100.6131971,5,16,412.93283,1069.715607,16,18
193,rice,cereals,Sandy Loam,4,5,640.2040908,187.4871671,5,16,871.0606813,1903.688305,16,18
194,rice,cereals,temperate podzols to the leached red soils of the tropics. ,4,5,868.6788964,924.1388471,5,16,455.6378635,1431.873097,16,18
195,rice,cereals,Loamy soil,4,5,242.0502631,523.692498,5,16,801.8349112,902.6411177,16,18
196,rice,cereals,Loamy soil/ Lateritic soil,4,5,206.8669668,856.8356967,5,16,1642.970103,1664.81496,16,18
197,rice,cereals,Silt Loam to loamy,4,5,288.0620584,752.0642055,5,16,1537.521206,2020.955103,16,18
198,rice,cereals,"alluvial,loamy ",4,5,567.7125819,249.0457248,5,16,1449.077448,2068.003647,16,18
199,rice,cereals,well-drained loamy soils,4,5,596.3973665,27.23938301,5,16,647.5379103,2147.08468,16,18
200,rice,cereals,Loamy,4,5,943.7580381,351.3917866,5,16,389.9989113,399.8432833,16,18
201,rice,cereals, light to heavy soils ,4,5,568.9157751,183.2284671,5,16,1869.280452,1316.047958,16,18
202,rice,cereals,medium to heavy black soil,4,5,210.5768688,137.4378957,5,16,1709.368455,1293.909332,16,18
203,rice,cereals,Loamy,4,5,686.9405522,419.2348486,5,16,627.7604073,433.6420045,16,18
204,rice,cereals,"red, black, sandy, loamy and shallow black soils.",4,5,233.2612946,769.0596171,5,16,1586.822514,1230.533273,16,18
205,wheat,cereals,Red sandy loam,4,5,237.2440942,597.8049317,5,16,1060.917361,1459.769097,16,18
206,wheat,cereals,all types of friable soil,4,5,894.3740247,155.817535,5,16,1592.814972,612.79936,16,18
207,wheat,cereals,Loamy Soil,4,5,118.129126,829.3044914,5,16,1790.262434,1841.566589,16,18
208,wheat,cereals,Sandy,4,5,368.834762,621.5427541,5,16,1097.761986,555.4176863,16,18
209,wheat,cereals,deep loam soils,4,5,757.3758732,274.5811729,5,16,1846.687875,1650.700281,16,18
210,wheat,cereals,LoamySandy,4,5,758.5572731,819.4134612,5,16,497.9080907,783.7037075,16,18
211,wheat,cereals,all types of friable soil,4,5,660.0871745,927.4688243,5,16,1228.387496,1109.835774,16,18
212,wheat,cereals,Well drained sandy loam and clayey loam soils ,4,5,786.0968338,388.3471665,5,16,1782.700035,1351.515981,16,18
213,wheat,cereals,Red sandy loam,4,5,223.0936766,119.1295834,5,16,1179.513454,1579.151811,16,18
214,wheat,cereals,"Well-drained, Loamy Soil",4,5,497.0789871,959.4517326,5,16,1136.446553,1488.679011,16,18
215,wheat,cereals,well-drained soil,4,5,417.0425572,520.1310723,5,16,1493.899313,2087.042052,16,18
216,wheat,cereals,Loamy soil,4,5,454.4320947,30.73286861,5,16,752.1611274,1950.9519,16,18
217,wheat,cereals,Rich red loamy soil,4,5,562.8556682,529.6177351,5,16,1002.923435,1626.549766,16,18
218,wheat,cereals,Loamy soil,4,5,705.8452251,571.9768194,5,16,849.3984441,955.4433414,16,18
219,wheat,cereals,deep loam soils,4,5,830.9019685,262.8897735,5,16,904.7807504,527.1999445,16,18
220,wheat,cereals,"Loams, silt loams, clay loams, or silty clay loams",4,5,66.7379434,500.0137718,5,16,1491.639286,2370.549141,16,18
221,wheat,cereals,Sandy,4,5,948.2359461,24.29892008,5,16,1339.46018,1336.776293,16,18
222,wheat,cereals,"clay, clay loam, or sandy loam soils",4,5,233.4115649,487.7465818,5,16,1619.897984,1137.259425,16,18
223,wheat,cereals,well-drained sandy loams or sandy soils ,4,5,784.8185268,852.7749378,5,16,1716.663268,523.7991218,16,18
224,wheat,cereals,well-drained sandy loams or sandy soils ,4,5,834.1481671,389.2715387,5,16,587.1087295,1279.180767,16,18
225,wheat,cereals,light or sandy loam soil,4,5,473.6071246,563.3571914,5,16,910.4046512,1978.756625,16,18
226,wheat,cereals,Loamy soil/ Lateritic soil,4,5,205.8792017,261.3897039,5,16,427.5272227,1508.615233,16,18
227,wheat,cereals, Any Loamy,4,5,488.6364738,371.860526,5,16,1864.085298,2200.47939,16,18
228,wheat,cereals,"clay, clay loam, or sandy loam soils",4,5,533.8372995,887.7307368,5,16,456.652715,876.5755523,16,18
229,wheat,cereals,well-drained soil,4,5,403.7442845,148.1306124,5,16,755.8955687,1607.662743,16,18
230,wheat,cereals,"red, black, sandy, loamy and shallow black soils.",4,5,617.3109153,306.3032493,5,16,843.999882,1981.406167,16,18
231,wheat,cereals,Sandy,4,5,443.0091695,405.1520674,5,16,870.1345436,1324.247027,16,18
