,CROPS,TYPE_OF_CROP,SOIL,SOIL_PH,CROP_DURATION,TEMP,WATER_SOURCE,WATER_REQUIRED,RELATIVE_HUMIDITY
22,maize,millets,temperate podzols to the leached red soils of the tropics. ,6.2,106,24.52,"irrigated,rainfall",536,82.73
23,maize,millets,temperate podzols to the leached red soils of the tropics. ,6.6,110,26.47,"irrigated,rainfall",638,83.6
24,maize,millets,temperate podzols to the leached red soils of the tropics. ,6.9,109,26.14,"irrigated,rainfall",792,74.77
25,maize,millets,temperate podzols to the leached red soils of the tropics. ,6.4,110,26.86,"irrigated,rainfall",606,65.74
26,maize,millets,temperate podzols to the leached red soils of the tropics. ,6.0,108,20.56,"irrigated,rainfall",556,67.55
27,maize,millets,temperate podzols to the leached red soils of the tropics. ,6.7,105,25.83,"irrigated,rainfall",514,62.92
28,maize,millets,temperate podzols to the leached red soils of the tropics. ,5.7,110,25.98,"irrigated,rainfall",734,82.11
29,maize,millets,temperate podzols to the leached red soils of the tropics. ,6.7,107,20.47,"irrigated,rainfall",732,82.69
30,sorghum,millets,well-drained loamy soils,6.3,100,17.08,"irrigated,rainfall",498,91.99
31,sorghum,millets,well-drained loamy soils,7.5,100,36.61,"irrigated,rainfall",635,97.81
32,sorghum,millets,well-drained loamy soils,7.3,97,34.87,"irrigated,rainfall",554,97.17
33,sorghum,millets,well-drained loamy soils,7.0,96,25.69,"irrigated,rainfall",451,95.28
34,sorghum,millets,well-drained loamy soils,6.9,96,33.71,"irrigated,rainfall",645,91.45
35,sorghum,millets,well-drained loamy soils,7.3,105,31.91,"irrigated,rainfall",549,96.25
36,sorghum,millets,well-drained loamy soils,6.9,97,39.95,"irrigated,rainfall",633,95.83
37,sorghum,millets,well-drained loamy soils,7.1,98,28.83,"irrigated,rainfall",618,92.47
38,sorghum,millets,well-drained loamy soils,6.7,105,20.15,"irrigated,rainfall",503,96.07
39,sorghum,millets,well-drained loamy soils,6.9,101,16.59,"irrigated,rainfall",584,92.12
40,Pearl millet,millets,"clay, clay loam, or sandy loam soils",6.5,80,18.45,"irrigated,rainfall",393,84.01
41,Pearl millet,millets,"clay, clay loam, or sandy loam soils",5.7,78,36.05,"irrigated,rainfall",350,82.17
42,Pearl millet,millets,"clay, clay loam, or sandy loam soils",6.4,83,28.16,"irrigated,rainfall",414,83.46
43,Pearl millet,millets,"clay, clay loam, or sandy loam soils",6.4,77,32.54,"irrigated,rainfall",488,93.92
44,Pearl millet,millets,"clay, clay loam, or sandy loam soils",6.7,85,24.54,"irrigated,rainfall",358,81.27
45,Pearl millet,millets,"clay, clay loam, or sandy loam soils",7.3,76,24.58,"irrigated,rainfall",496,91.59
46,Pearl millet,millets,"clay, clay loam, or sandy loam soils",5.8,78,21.45,"irrigated,rainfall",494,90.74
47,Pearl millet,millets,"clay, clay loam, or sandy loam soils",7.3,79,31.27,"irrigated,rainfall",467,87.06
48,Pearl millet,millets,"clay, clay loam, or sandy loam soils",7.2,79,42.72,"irrigated,rainfall",494,91.48
49,Pearl millet,millets,"clay, clay loam, or sandy loam soils",5.6,75,32.13,"irrigated,rainfall",498,84.56
50,ragi,millets,"red, black, sandy, loamy and shallow black soils.",6.1,104,20.01,"irrigated,rainfall",910,19.52
51,ragi,millets,"red, black, sandy, loamy and shallow black soils.",5.3,113,22.28,"irrigated,rainfall",896,15.34
52,ragi,millets,"red, black, sandy, loamy and shallow black soils.",6.3,119,14.39,"irrigated,rainfall",863,18.67
53,ragi,millets,"red, black, sandy, loamy and shallow black soils.",6.0,115,26.27,"irrigated,rainfall",1112,16.36
54,ragi,millets,"red, black, sandy, loamy and shallow black soils.",7.2,114,20.75,"irrigated,rainfall",730,16.2
55,ragi,millets,"red, black, sandy, loamy and shallow black soils.",5.5,103,22.82,"irrigated,rainfall",1044,19.32
56,ragi,millets,"red, black, sandy, loamy and shallow black soils.",5.2,102,13.15,"irrigated,rainfall",835,16.52
57,ragi,millets,"red, black, sandy, loamy and shallow black soils.",6.3,115,26.76,"irrigated,rainfall",803,18.66
58,ragi,millets,"red, black, sandy, loamy and shallow black soils.",6.5,108,19.61,"irrigated,rainfall",1184,19.72
59,ragi,millets,"red, black, sandy, loamy and shallow black soils.",6.4,115,17.1,"irrigated,rainfall",1060,17.66
60,panivaragu,millets,sandy loam to clays of black cotton soils,6.2,71,25.57,"irrigated,rainfall",334,18.6
61,panivaragu,millets,sandy loam to clays of black cotton soils,7.0,75,13.23,"irrigated,rainfall",330,18.71
62,panivaragu,millets,sandy loam to clays of black cotton soils,6.3,75,17.34,"irrigated,rainfall",350,16.32
63,panivaragu,millets,sandy loam to clays of black cotton soils,5.8,73,22.76,"irrigated,rainfall",332,17.87
64,panivaragu,millets,sandy loam to clays of black cotton soils,5.8,70,32.18,"irrigated,rainfall",332,17.56
65,panivaragu,millets,sandy loam to clays of black cotton soils,6.7,73,44.93,"irrigated,rainfall",334,15.4
66,panivaragu,millets,sandy loam to clays of black cotton soils,6.5,72,32.22,"irrigated,rainfall",330,17.51
67,panivaragu,millets,sandy loam to clays of black cotton soils,6.1,74,25.94,"irrigated,rainfall",330,16.06
68,panivaragu,millets,sandy loam to clays of black cotton soils,5.5,74,32.67,"irrigated,rainfall",347,18.19
69,panivaragu,millets,sandy loam to clays of black cotton soils,6.5,70,16.15,"irrigated,rainfall",336,17.06
70,samai,millets,Loamy Soil,8.7,95,29.43,"irrigated,rainfall",693,15.15
71,samai,millets,Loamy Soil,8.5,90,30.56,"irrigated,rainfall",535,17.82
72,samai,millets,Loamy Soil,8.5,85,31.28,"irrigated,rainfall",695,16.29
73,samai,millets,Loamy Soil,8.7,81,31.94,"irrigated,rainfall",694,18.3
74,samai,millets,Loamy Soil,8.8,92,35.66,"irrigated,rainfall",619,17.6
75,samai,millets,Loamy Soil,8.9,85,26.17,"irrigated,rainfall",554,16.53
76,samai,millets,Loamy Soil,8.8,99,26.67,"irrigated,rainfall",679,19.93
77,samai,millets,Loamy Soil,9.0,81,35.33,"irrigated,rainfall",529,19.46
78,samai,millets,Loamy Soil,8.8,87,31.24,"irrigated,rainfall",551,18.46
79,samai,millets,Loamy Soil,9.0,100,26.47,"irrigated,rainfall",579,16.91
80,thinai,millets,"alluvial,loamy ",6.0,85,27.35,"irrigated,rainfall",788,17.58
81,thinai,millets,"alluvial,loamy ",6.8,87,21.51,"irrigated,rainfall",597,17.16
82,thinai,millets,"alluvial,loamy ",6.7,90,20.95,"irrigated,rainfall",733,16.15
83,thinai,millets,"alluvial,loamy ",5.5,86,20.57,"irrigated,rainfall",635,19.41
84,thinai,millets,"alluvial,loamy ",5.8,85,23.64,"irrigated,rainfall",505,19.7
85,thinai,millets,"alluvial,loamy ",5.6,85,23.26,"irrigated,rainfall",581,16.62
86,thinai,millets,"alluvial,loamy ",6.8,86,25.22,"irrigated,rainfall",602,17.62
87,thinai,millets,"alluvial,loamy ",6.1,90,27.76,"irrigated,rainfall",886,18.91
88,thinai,millets,"alluvial,loamy ",6.7,88,22.09,"irrigated,rainfall",816,18.77
89,thinai,millets,"alluvial,loamy ",6.1,85,23.5,"irrigated,rainfall",581,18.85
90,varagu,millets,clay-based soil,6.2,120,26.65,rainfed,645,18.01
91,varagu,millets,clay-based soil,6.3,120,25.0,rainfed,780,19.63
92,varagu,millets,clay-based soil,6.1,120,25.65,rainfed,614,19.62
93,varagu,millets,clay-based soil,5.8,120,25.39,rainfed,858,19.83
94,varagu,millets,clay-based soil,6.0,120,26.77,rainfed,611,15.01
95,varagu,millets,clay-based soil,5.9,120,26.52,rainfed,531,18.76
96,varagu,millets,clay-based soil,6.2,120,26.35,rainfed,694,18.26
97,varagu,millets,clay-based soil,5.7,120,25.53,rainfed,831,17.54
98,varagu,millets,clay-based soil,5.7,120,26.2,rainfed,766,19.56
99,varagu,millets,clay-based soil,6.0,120,25.54,rainfed,597,16.07
100,kudiraivali,millets,Loamy Soil,6.9,91,20.0,rainfed,628,16.04
101,kudiraivali,millets,Loamy Soil,6.8,83,20.0,rainfed,697,18.74
102,kudiraivali,millets,Loamy Soil,6.3,76,20.0,rainfed,885,16.67
103,kudiraivali,millets,Loamy Soil,5.7,86,20.0,rainfed,649,15.11
104,kudiraivali,millets,Loamy Soil,6.1,93,20.0,rainfed,771,19.26
105,kudiraivali,millets,Loamy Soil,6.5,77,20.0,rainfed,740,15.51
106,kudiraivali,millets,Loamy Soil,5.8,82,20.0,rainfed,729,16.11
107,kudiraivali,millets,Loamy Soil,6.6,88,20.0,rainfed,806,16.54
108,kudiraivali,millets,Loamy Soil,6.3,86,20.0,rainfed,705,19.55
109,kudiraivali,millets,Loamy Soil,6.5,82,20.0,rainfed,724,18.42
110,blackgram,pulses,sandy soils to heavy cotton soils,6.9,72,37.74,"irrigated,rainfall",889,17.19
111,blackgram,pulses,sandy soils to heavy cotton soils,6.9,72,41.05,"irrigated,rainfall",764,17.37
112,blackgram,pulses,sandy soils to heavy cotton soils,7.2,72,20.95,"irrigated,rainfall",877,17.13
113,blackgram,pulses,sandy soils to heavy cotton soils,6.6,70,31.24,"irrigated,rainfall",809,17.97
114,blackgram,pulses,sandy soils to heavy cotton soils,7.8,74,41.12,"irrigated,rainfall",818,17.54
115,blackgram,pulses,sandy soils to heavy cotton soils,7.0,72,26.15,"irrigated,rainfall",680,17.65
116,blackgram,pulses,sandy soils to heavy cotton soils,6.6,74,29.86,"irrigated,rainfall",860,17.09
117,blackgram,pulses,sandy soils to heavy cotton soils,6.6,73,36.49,"irrigated,rainfall",945,17.62
118,blackgram,pulses,sandy soils to heavy cotton soils,7.2,71,34.42,"irrigated,rainfall",925,17.33
119,blackgram,pulses,sandy soils to heavy cotton soils,7.3,74,37.89,"irrigated,rainfall",906,17.38
120,greengram,pulses,well-drained sandy loams or sandy soils ,6.7,100,30.28,"irrigated,rainfall",957,61.54
121,greengram,pulses,well-drained sandy loams or sandy soils ,6.6,100,33.23,"irrigated,rainfall",949,62.22
122,greengram,pulses,well-drained sandy loams or sandy soils ,7.3,100,29.02,"irrigated,rainfall",920,66.98
123,greengram,pulses,well-drained sandy loams or sandy soils ,7.2,100,28.71,"irrigated,rainfall",924,68.85
124,greengram,pulses,well-drained sandy loams or sandy soils ,7.1,100,27.94,"irrigated,rainfall",892,66.07
125,greengram,pulses,well-drained sandy loams or sandy soils ,6.9,100,25.93,"irrigated,rainfall",893,65.73
126,greengram,pulses,well-drained sandy loams or sandy soils ,6.8,100,33.66,"irrigated,rainfall",992,68.29
127,greengram,pulses,well-drained sandy loams or sandy soils ,7.0,100,28.39,"irrigated,rainfall",881,67.08
128,greengram,pulses,well-drained sandy loams or sandy soils ,6.5,100,27.29,"irrigated,rainfall",931,66.14
129,greengram,pulses,well-drained sandy loams or sandy soils ,6.7,100,32.18,"irrigated,rainfall",913,66.9
130,cowpea,pulses, well-drained sandy loams or sandy soils ,5.4,82,21.84,"irrigated,rainfall",530,52.46
131,cowpea,pulses, well-drained sandy loams or sandy soils ,5.5,87,29.43,"irrigated,rainfall",588,54.92
132,cowpea,pulses, well-drained sandy loams or sandy soils ,5.0,60,21.54,"irrigated,rainfall",575,54.65
133,cowpea,pulses, well-drained sandy loams or sandy soils ,5.9,61,21.98,"irrigated,rainfall",601,53.99
134,cowpea,pulses, well-drained sandy loams or sandy soils ,6.1,65,20.86,"irrigated,rainfall",405,50.79
135,cowpea,pulses, well-drained sandy loams or sandy soils ,5.8,61,28.97,"irrigated,rainfall",410,50.07
136,cowpea,pulses, well-drained sandy loams or sandy soils ,5.2,84,21.76,"irrigated,rainfall",543,50.27
137,cowpea,pulses, well-drained sandy loams or sandy soils ,6.3,68,25.55,"irrigated,rainfall",557,51.39
138,cowpea,pulses, well-drained sandy loams or sandy soils ,6.2,88,24.11,"irrigated,rainfall",495,53.81
139,cowpea,pulses, well-drained sandy loams or sandy soils ,6.2,87,20.48,"irrigated,rainfall",613,53.37
140,bengalgram,pulses,medium to heavy black soil,5.6,101,23.61,"irrigated,rainfall",981,60.0
141,bengalgram,pulses,medium to heavy black soil,5.8,109,20.43,"irrigated,rainfall",971,60.0
142,bengalgram,pulses,medium to heavy black soil,6.3,90,26.39,"irrigated,rainfall",963,60.0
143,bengalgram,pulses,medium to heavy black soil,5.5,91,27.36,"irrigated,rainfall",960,60.0
144,bengalgram,pulses,medium to heavy black soil,6.8,120,24.86,"irrigated,rainfall",823,60.0
145,bengalgram,pulses,medium to heavy black soil,5.6,106,27.9,"irrigated,rainfall",692,60.0
146,bengalgram,pulses,medium to heavy black soil,6.3,114,28.93,"irrigated,rainfall",930,60.0
147,bengalgram,pulses,medium to heavy black soil,7.0,92,29.0,"irrigated,rainfall",664,60.0
148,bengalgram,pulses,medium to heavy black soil,6.9,116,22.33,"irrigated,rainfall",690,60.0
149,bengalgram,pulses,medium to heavy black soil,5.9,98,20.66,"irrigated,rainfall",851,60.0
150,horsegram,pulses, light to heavy soils ,6.2,100,35.25,rainfed,800,66.08
151,horsegram,pulses, light to heavy soils ,6.5,105,25.44,rainfed,800,53.7
152,horsegram,pulses, light to heavy soils ,6.3,100,33.73,rainfed,800,60.65
153,horsegram,pulses, light to heavy soils ,6.2,104,37.85,rainfed,800,54.33
154,horsegram,pulses, light to heavy soils ,7.1,104,34.66,rainfed,800,74.8
155,horsegram,pulses, light to heavy soils ,7.5,100,39.64,rainfed,800,78.75
156,horsegram,pulses, light to heavy soils ,6.3,101,31.04,rainfed,800,52.16
157,horsegram,pulses, light to heavy soils ,6.2,102,29.23,rainfed,800,70.55
158,horsegram,pulses, light to heavy soils ,7.3,103,27.25,rainfed,800,67.2
159,horsegram,pulses, light to heavy soils ,7.3,101,33.96,rainfed,800,54.49
160,redgram,pulses,deep loam soils,6.5,122,27.48,rainfed,635,79.3
161,redgram,pulses,deep loam soils,6.7,131,23.63,rainfed,746,77.86
162,redgram,pulses,deep loam soils,6.7,124,23.12,rainfed,1147,76.67
163,redgram,pulses,deep loam soils,6.5,144,22.87,rainfed,1225,80.99
164,redgram,pulses,deep loam soils,6.7,126,28.75,rainfed,750,79.34
165,redgram,pulses,deep loam soils,6.8,145,26.7,rainfed,848,77.13
166,redgram,pulses,deep loam soils,6.7,120,23.12,rainfed,949,80.68
167,redgram,pulses,deep loam soils,6.7,130,24.97,rainfed,1140,76.16
168,redgram,pulses,deep loam soils,6.8,145,19.16,rainfed,655,78.68
169,redgram,pulses,deep loam soils,6.7,138,22.36,rainfed,734,78.55
170,soyabean,pulses,"Well-drained, Loamy Soil",6.8,96,26.53,"irrigated,rainfall",678,87.04
171,soyabean,pulses,"Well-drained, Loamy Soil",6.0,95,24.68,"irrigated,rainfall",506,72.86
172,soyabean,pulses,"Well-drained, Loamy Soil",6.2,97,18.88,"irrigated,rainfall",511,87.23
173,soyabean,pulses,"Well-drained, Loamy Soil",6.8,91,21.52,"irrigated,rainfall",677,75.03
174,soyabean,pulses,"Well-drained, Loamy Soil",6.5,100,30.01,"irrigated,rainfall",581,70.22
175,soyabean,pulses,"Well-drained, Loamy Soil",6.5,99,31.15,"irrigated,rainfall",597,88.23
176,soyabean,pulses,"Well-drained, Loamy Soil",6.9,100,15.54,"irrigated,rainfall",486,78.55
177,soyabean,pulses,"Well-drained, Loamy Soil",6.0,91,22.76,"irrigated,rainfall",502,78.29
178,soyabean,pulses,"Well-drained, Loamy Soil",6.4,90,15.46,"irrigated,rainfall",492,89.26
179,soyabean,pulses,"Well-drained, Loamy Soil",6.2,90,22.8,"irrigated,rainfall",684,84.31
180,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,6.5,148,11.2,"irrigated,rainfall",602,65.0
181,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,6.7,140,18.3,"irrigated,rainfall",668,65.0
182,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,6.8,143,40.41,"irrigated,rainfall",699,65.0
183,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,6.8,147,36.87,"irrigated,rainfall",579,65.0
184,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,6.9,143,22.94,"irrigated,rainfall",519,65.0
185,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,6.8,146,39.83,"irrigated,rainfall",537,65.0
186,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,6.8,144,23.2,"irrigated,rainfall",518,65.0
187,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,6.7,142,28.75,"irrigated,rainfall",675,65.0
188,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,6.6,145,39.87,"irrigated,rainfall",655,65.0
189,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,6.7,145,23.69,"irrigated,rainfall",579,65.0
190,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",7.3,91,23.44,"irrigated,rainfall",440,84.52
191,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",6.9,95,23.83,"irrigated,rainfall",422,93.08
192,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",6.6,89,23.78,"irrigated,rainfall",427,84.23
193,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",7.0,91,20.25,"irrigated,rainfall",480,93.7
194,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",8.0,86,21.94,"irrigated,rainfall",432,94.12
195,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",7.6,85,23.83,"irrigated,rainfall",410,86.88
196,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",8.0,93,20.61,"irrigated,rainfall",466,81.22
197,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",7.9,86,21.34,"irrigated,rainfall",497,84.07
198,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",8.0,92,23.71,"irrigated,rainfall",474,83.55
199,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",7.9,94,22.97,"irrigated,rainfall",383,96.97
200,gingely,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",6.6,85,34.77,"irrigated,rainfall",379,89.19
201,gingely,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.8,85,25.92,"irrigated,rainfall",358,80.95
202,gingely,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",7.6,85,32.03,"irrigated,rainfall",390,92.11
203,gingely,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.9,87,28.99,"irrigated,rainfall",375,86.58
204,gingely,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.9,87,26.83,"irrigated,rainfall",360,91.93
205,gingely,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",7.7,87,28.68,"irrigated,rainfall",364,81.55
206,gingely,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",7.4,88,25.75,"irrigated,rainfall",386,92.79
207,gingely,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",6.1,86,29.34,"irrigated,rainfall",353,90.97
208,gingely,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",7.5,90,28.51,"irrigated,rainfall",362,82.48
209,gingely,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",6.2,89,26.55,"irrigated,rainfall",382,91.99
210,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",7.3,140,23.84,"irrigated,rainfall",500,92.78
211,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",7.7,151,25.94,"irrigated,rainfall",500,80.68
212,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",7.1,149,23.6,"irrigated,rainfall",500,88.68
213,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.8,135,23.83,"irrigated,rainfall",500,97.82
214,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",8.1,156,24.85,"irrigated,rainfall",500,92.02
215,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",7.9,123,25.59,"irrigated,rainfall",500,83.17
216,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",6.9,152,23.88,"irrigated,rainfall",500,95.87
217,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",6.2,149,24.04,"irrigated,rainfall",500,94.25
218,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",7.2,121,22.83,"irrigated,rainfall",500,82.74
219,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",8.2,134,22.62,"irrigated,rainfall",500,87.0
220,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",7.9,137,26.1,"irrigated,rainfall",993,89.27
221,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",7.9,136,26.79,"irrigated,rainfall",1200,79.14
222,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",7.7,135,24.33,"irrigated,rainfall",1060,73.27
223,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",7.4,140,21.27,"irrigated,rainfall",911,79.59
224,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",7.1,138,22.94,"irrigated,rainfall",1042,74.56
225,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",7.5,138,26.76,"irrigated,rainfall",925,74.59
226,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",7.6,140,21.45,"irrigated,rainfall",907,83.84
227,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",7.9,140,21.27,"irrigated,rainfall",1179,89.98
228,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",7.2,136,21.27,"irrigated,rainfall",1155,75.82
229,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",7.7,136,26.53,"irrigated,rainfall",1043,79.55
230,jute,fibre crop,Sandy and Clay Loam,7.2,140,26.61,"irrigated,rainfall",1097,83.13
231,jute,fibre crop,Sandy and Clay Loam,7.3,129,33.68,"irrigated,rainfall",1014,84.14
232,jute,fibre crop,Sandy and Clay Loam,7.4,126,30.32,"irrigated,rainfall",1267,82.52
233,jute,fibre crop,Sandy and Clay Loam,7.3,122,24.43,"irrigated,rainfall",1130,82.36
234,jute,fibre crop,Sandy and Clay Loam,6.2,139,31.95,"irrigated,rainfall",1151,74.33
235,jute,fibre crop,Sandy and Clay Loam,7.1,127,27.44,"irrigated,rainfall",1272,70.02
236,jute,fibre crop,Sandy and Clay Loam,6.3,126,35.43,"irrigated,rainfall",1294,79.28
237,jute,fibre crop,Sandy and Clay Loam,6.8,122,37.9,"irrigated,rainfall",1009,88.7
238,jute,fibre crop,Sandy and Clay Loam,6.2,135,27.82,"irrigated,rainfall",1127,80.37
239,jute,fibre crop,Sandy and Clay Loam,6.5,122,37.57,"irrigated,rainfall",1014,87.34
240,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,7.6,302,26.08,irrigated,1812,68.34
241,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,7.8,319,21.78,irrigated,1754,65.31
242,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,7.3,312,22.23,irrigated,1690,75.23
243,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,7.2,328,22.66,irrigated,2087,69.75
244,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,6.6,309,24.06,irrigated,2036,71.43
245,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,7.3,301,23.44,irrigated,2276,76.42
246,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,7.1,306,22.51,irrigated,2453,69.35
247,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,7.4,328,24.53,irrigated,1765,70.51
248,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,7.5,330,25.89,irrigated,2432,69.98
249,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,7.6,301,26.1,irrigated,2098,77.3
250,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,7.8,175,21.74,irrigated,707,79.69
251,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,6.8,160,20.06,irrigated,705,69.26
252,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,7.1,164,23.98,irrigated,663,68.82
253,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,7.9,171,24.78,irrigated,625,71.18
254,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,6.3,172,21.95,irrigated,725,71.53
255,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,6.7,156,23.58,irrigated,771,73.88
256,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,6.4,170,24.96,irrigated,625,67.24
257,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,7.9,171,24.9,irrigated,795,72.24
258,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,6.9,157,21.09,irrigated,773,66.45
259,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,6.2,173,20.83,irrigated,665,67.11
260,tomato,vegetables,Sandy loam,6.9,138,26.23,"irrigated,rainfall",688,79.05
