,CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,SOIL_PH,CROP_DURATION,WATERSOURCE,TEMP,WATER_REQUIRED,RELATIVE_HUMIDITY
31,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,7.2,105.0,"irrigated,rainfall",21.18,518.0,99.09
32,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,7.2,105.0,"irrigated,rainfall",19.48,517.0,99.13
33,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,7.2,105.0,"irrigated,rainfall",23.06,532.0,99.14
34,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,7.3,105.0,"irrigated,rainfall",18.75,519.0,99.16
35,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,7.1,105.0,"irrigated,rainfall",19.36,524.0,99.15
36,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,7.2,105.0,"irrigated,rainfall",20.83,523.0,99.12
37,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,7.2,105.0,"irrigated,rainfall",20.62,510.0,99.12
38,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,7.2,105.0,"irrigated,rainfall",22.85,535.0,99.12
39,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,7.2,105.0,"irrigated,rainfall",19.92,507.0,99.16
40,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.3,83.0,"irrigated,rainfall",44.29,358.0,84.41
41,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.3,83.0,"irrigated,rainfall",44.37,364.0,84.76
42,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.3,83.0,"irrigated,rainfall",44.37,357.0,83.97
43,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.3,83.0,"irrigated,rainfall",44.39,354.0,83.73
44,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.3,83.0,"irrigated,rainfall",44.32,359.0,84.41
45,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.3,83.0,"irrigated,rainfall",44.36,363.0,83.77
46,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.2,83.0,"irrigated,rainfall",44.33,357.0,84.13
47,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.3,83.0,"irrigated,rainfall",44.29,357.0,84.01
48,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.2,83.0,"irrigated,rainfall",44.31,354.0,84.59
49,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.3,83.0,"irrigated,rainfall",44.34,355.0,84.43
50,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,7.8,100.0,"irrigated,rainfall",26.23,780.0,19.72
51,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,7.8,100.0,"irrigated,rainfall",26.27,783.0,19.68
52,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,7.8,100.0,"irrigated,rainfall",26.13,818.0,19.72
53,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,7.8,100.0,"irrigated,rainfall",26.4,764.0,19.79
54,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,7.8,100.0,"irrigated,rainfall",26.43,767.0,19.74
55,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,7.8,100.0,"irrigated,rainfall",26.71,787.0,19.85
56,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,7.8,100.0,"irrigated,rainfall",26.51,829.0,19.77
57,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,7.7,100.0,"irrigated,rainfall",26.51,788.0,19.67
58,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,7.8,100.0,"irrigated,rainfall",26.59,801.0,19.77
59,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,7.8,100.0,"irrigated,rainfall",26.6,805.0,19.68
60,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,5.7,75.0,"irrigated,rainfall",44.49,337.0,19.49
61,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,5.7,74.0,"irrigated,rainfall",44.36,335.0,19.42
62,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,5.7,75.0,"irrigated,rainfall",44.44,335.0,19.43
63,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,5.7,74.0,"irrigated,rainfall",44.57,334.0,19.5
64,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,5.7,75.0,"irrigated,rainfall",44.47,332.0,19.38
65,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,5.7,74.0,"irrigated,rainfall",44.38,335.0,19.37
66,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,5.7,74.0,"irrigated,rainfall",44.26,335.0,19.45
67,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,5.7,74.0,"irrigated,rainfall",44.56,334.0,19.45
68,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,5.7,75.0,"irrigated,rainfall",44.48,333.0,19.43
69,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,5.7,74.0,"irrigated,rainfall",44.38,334.0,19.24
70,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.6,87.0,"irrigated,rainfall",28.52,673.0,18.94
71,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.6,90.0,"irrigated,rainfall",28.56,673.0,18.95
72,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.6,88.0,"irrigated,rainfall",28.99,672.0,18.93
73,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.5,92.0,"irrigated,rainfall",28.46,674.0,18.95
74,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.6,89.0,"irrigated,rainfall",28.43,674.0,18.95
75,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.6,90.0,"irrigated,rainfall",29.22,673.0,18.95
76,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.6,92.0,"irrigated,rainfall",28.55,673.0,18.95
77,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.6,89.0,"irrigated,rainfall",28.62,673.0,18.95
78,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.5,89.0,"irrigated,rainfall",28.92,672.0,18.92
79,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.6,87.0,"irrigated,rainfall",28.65,673.0,18.94
80,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.4,89.0,"irrigated,rainfall",21.97,819.0,18.2
81,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.3,90.0,"irrigated,rainfall",21.08,821.0,18.33
82,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.4,90.0,"irrigated,rainfall",22.36,822.0,18.31
83,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.3,90.0,"irrigated,rainfall",21.29,821.0,18.26
84,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.5,90.0,"irrigated,rainfall",21.41,821.0,18.25
85,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.3,90.0,"irrigated,rainfall",21.77,819.0,18.26
86,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.4,90.0,"irrigated,rainfall",21.52,820.0,18.31
87,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.3,90.0,"irrigated,rainfall",21.25,821.0,18.32
88,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.2,90.0,"irrigated,rainfall",21.68,818.0,18.22
89,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.3,90.0,"irrigated,rainfall",20.82,821.0,18.35
90,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.5,120.0,rainfed,25.12,859.0,15.73
91,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.5,120.0,rainfed,25.15,850.0,15.83
92,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.5,120.0,rainfed,25.13,849.0,15.86
93,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.5,120.0,rainfed,25.12,856.0,15.76
94,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.5,120.0,rainfed,25.12,851.0,15.78
95,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.5,120.0,rainfed,25.14,855.0,15.76
96,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.5,120.0,rainfed,25.13,854.0,15.76
97,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.5,120.0,rainfed,25.13,849.0,15.79
98,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.5,120.0,rainfed,25.12,858.0,15.77
99,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.5,120.0,rainfed,25.12,856.0,15.77
100,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,5.6,95.0,rainfed,20.0,620.0,18.66
101,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,5.6,95.0,rainfed,20.0,563.0,18.8
102,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,5.6,95.0,rainfed,20.0,574.0,18.85
103,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,5.6,95.0,rainfed,20.0,670.0,18.8
104,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,5.6,95.0,rainfed,20.0,579.0,18.79
105,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,5.6,95.0,rainfed,20.0,628.0,18.79
106,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,5.6,95.0,rainfed,20.0,598.0,18.83
107,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,5.6,95.0,rainfed,20.0,611.0,18.84
108,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,5.6,95.0,rainfed,20.0,624.0,18.76
109,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,5.6,95.0,rainfed,20.0,567.0,18.84
110,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,7.0,75.0,"irrigated,rainfall",22.48,968.0,17.92
111,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,7.1,75.0,"irrigated,rainfall",22.38,967.0,17.92
112,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,7.2,75.0,"irrigated,rainfall",22.68,965.0,17.91
113,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,7.3,75.0,"irrigated,rainfall",22.36,968.0,17.92
114,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,7.2,75.0,"irrigated,rainfall",22.43,967.0,17.92
115,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,7.2,75.0,"irrigated,rainfall",22.43,968.0,17.92
116,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,7.4,75.0,"irrigated,rainfall",22.38,969.0,17.93
117,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,7.3,74.0,"irrigated,rainfall",22.42,968.0,17.92
118,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,7.2,75.0,"irrigated,rainfall",22.36,969.0,17.93
119,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,7.2,74.0,"irrigated,rainfall",22.39,968.0,17.92
120,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.3,100.0,"irrigated,rainfall",33.91,988.0,62.09
121,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.4,100.0,"irrigated,rainfall",33.97,989.0,62.32
122,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.3,100.0,"irrigated,rainfall",34.12,989.0,62.07
123,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.4,100.0,"irrigated,rainfall",34.18,990.0,61.91
124,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.4,100.0,"irrigated,rainfall",34.12,990.0,62.0
125,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.4,100.0,"irrigated,rainfall",34.24,990.0,61.83
126,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.4,100.0,"irrigated,rainfall",34.06,989.0,62.07
127,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.3,100.0,"irrigated,rainfall",33.91,989.0,62.39
128,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.3,100.0,"irrigated,rainfall",33.82,990.0,61.92
129,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.4,100.0,"irrigated,rainfall",34.16,990.0,62.03
130,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.5,63.0,"irrigated,rainfall",29.41,407.0,54.65
131,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.5,63.0,"irrigated,rainfall",29.38,406.0,54.7
132,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.5,63.0,"irrigated,rainfall",29.43,406.0,54.73
133,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.5,63.0,"irrigated,rainfall",29.3,407.0,54.54
134,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.5,63.0,"irrigated,rainfall",29.43,406.0,54.72
135,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.4,63.0,"irrigated,rainfall",29.38,406.0,54.69
136,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.5,63.0,"irrigated,rainfall",29.4,406.0,54.62
137,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.5,62.0,"irrigated,rainfall",29.42,406.0,54.59
138,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.5,63.0,"irrigated,rainfall",29.38,407.0,54.64
139,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.5,63.0,"irrigated,rainfall",29.36,407.0,54.63
140,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,5.9,114.0,"irrigated,rainfall",28.42,989.0,60.0
141,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,5.9,115.0,"irrigated,rainfall",28.77,994.0,60.0
142,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,5.9,115.0,"irrigated,rainfall",28.83,994.0,60.0
143,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,5.9,115.0,"irrigated,rainfall",28.59,994.0,60.0
144,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,5.9,115.0,"irrigated,rainfall",28.71,989.0,60.0
145,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,5.9,115.0,"irrigated,rainfall",28.76,984.0,60.0
146,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,6.0,115.0,"irrigated,rainfall",28.7,981.0,60.0
147,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,6.0,115.0,"irrigated,rainfall",28.7,988.0,60.0
148,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,5.9,115.0,"irrigated,rainfall",28.62,991.0,60.0
149,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,5.9,115.0,"irrigated,rainfall",28.77,993.0,60.0
150,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,101.0,rainfed,26.82,800.0,61.26
151,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,101.0,rainfed,26.47,800.0,62.8
152,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,101.0,rainfed,26.47,800.0,60.66
153,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,101.0,rainfed,26.49,800.0,61.97
154,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,101.0,rainfed,26.45,800.0,60.92
155,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,101.0,rainfed,26.52,800.0,63.69
156,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,101.0,rainfed,26.51,800.0,59.63
157,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,101.0,rainfed,26.72,800.0,62.5
158,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,101.0,rainfed,26.57,800.0,58.91
159,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,101.0,rainfed,26.47,800.0,61.53
160,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,125.0,rainfed,28.08,838.0,78.82
161,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,124.0,rainfed,28.13,829.0,79.67
162,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,125.0,rainfed,28.06,831.0,78.85
163,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,124.0,rainfed,28.06,833.0,79.45
164,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,125.0,rainfed,28.14,829.0,79.33
165,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,124.0,rainfed,28.18,827.0,79.83
166,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,124.0,rainfed,28.18,828.0,79.31
167,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,124.0,rainfed,28.09,830.0,79.59
168,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,125.0,rainfed,28.13,836.0,79.43
169,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,124.0,rainfed,28.15,831.0,79.5
170,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,6.9,90.0,"irrigated,rainfall",15.32,664.0,89.53
171,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,6.9,90.0,"irrigated,rainfall",15.28,664.0,88.96
172,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,6.9,90.0,"irrigated,rainfall",15.25,665.0,89.83
173,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,6.9,90.0,"irrigated,rainfall",15.28,664.0,89.72
174,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,6.9,90.0,"irrigated,rainfall",15.26,665.0,90.17
175,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,6.9,90.0,"irrigated,rainfall",15.41,664.0,89.94
176,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,6.9,90.0,"irrigated,rainfall",15.28,664.0,89.9
177,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,6.9,90.0,"irrigated,rainfall",15.34,663.0,89.87
178,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,6.9,90.0,"irrigated,rainfall",15.26,665.0,89.63
179,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,6.9,90.0,"irrigated,rainfall",15.27,665.0,90.38
180,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.7,149.0,"irrigated,rainfall",37.61,552.0,65.0
181,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.7,149.0,"irrigated,rainfall",37.61,538.0,65.0
182,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.7,149.0,"irrigated,rainfall",37.61,538.0,65.0
183,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.7,149.0,"irrigated,rainfall",37.61,546.0,65.0
184,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.7,149.0,"irrigated,rainfall",37.61,539.0,65.0
185,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.7,150.0,"irrigated,rainfall",37.61,536.0,65.0
186,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.7,149.0,"irrigated,rainfall",37.61,546.0,65.0
187,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.7,149.0,"irrigated,rainfall",37.61,542.0,65.0
